"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"e973f54a8bdc907694937ceff500ea99","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"4b2ced51b8c60be88807abfcc11047d7","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"f6e6c95da709321380a90eae7648348e","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"e1c9a50a37b5fdbfe891840b8c0b4947","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"483a5a232ff726c6482858321b3b356d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"0d71c12227f08234d9185ff62fbae7cd","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"3c67a7f9eeb49f78563fa5d8d02d3adb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Arabidopsis","thaliana"
"0d8ef89bcb93c55769b512195e69c30f","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Raphanus","sativus"
"8c82036c836ec905135ee48750956fc3","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Raphanus","sativus"
"10eb11cc54eeb4a58586535993157087","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"b53e278acea5d057e3ea8acacd0bb9e2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"b0fba827087c0b438fa4f88f1143c8eb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"5bbbe42a033d7a1860ff25badac222bb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"0e9773d66bf2a9a897be43e277eb77db","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"72beafb48d2312340ebb3f1638801682","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"820486cb1be92e8e0b73476e88abc9e8","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Malus","x domestica"
"8bd7613b1d51e85eb467d39a16898561","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"7be1eea1d6e31d0a4e66965b6657c277","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"b2af85a93525c090245f4c5664d9e6a8","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"ae06caef5f70204ad2c6f17f7a4b27cf","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"8dc552de9ba0090d2091109d4ee53a22","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"ce3a43264d7b5ab9eb342b2f23e29e83","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"408b4d3567bcc1388ce0565d594b4f52","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
